,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-59.0,,
1,,,-59.0
2,-55.0,-51.0,-58.0
3,,,
4,-62.0,,
5,-60.0,-50.0,-53.0
6,-61.0,,-60.0
7,,,
8,-55.0,-50.0,-53.0
9,,,-53.0
10,-61.0,,
11,-55.0,-52.0,
12,-56.0,,-80.0
13,,,-53.0
14,-62.0,,
15,-54.0,-50.0,
16,,-51.0,-53.0
17,-54.0,,
18,-56.0,-50.0,
19,-54.0,-52.0,
20,-55.0,-49.0,
21,,,
22,-55.0,,
23,-55.0,,-59.0
24,-55.0,-50.0,
25,,-51.0,-55.0
26,,-51.0,
27,-66.0,-51.0,-58.0
28,-67.0,-50.0,
29,-66.0,-50.0,-54.0
30,,,
31,,-49.0,
32,-53.0,,-54.0
33,,,
34,-56.0,,
35,-56.0,-49.0,-60.0
36,,-50.0,
37,,-49.0,
38,,,-54.0
39,-55.0,,
40,-54.0,-51.0,
41,,,-55.0
42,-54.0,-49.0,-55.0
43,-66.0,-49.0,-55.0
44,-66.0,-51.0,-58.0
45,-66.0,-51.0,-59.0
46,,-51.0,
47,,,
48,-55.0,,-55.0
49,-54.0,,
50,-55.0,,
51,,-51.0,
52,,-50.0,
53,,-49.0,-54.0
54,,-52.0,-65.0
55,-55.0,,-55.0
56,-65.0,-51.0,-54.0
57,-55.0,-49.0,
58,-66.0,-48.0,
59,-66.0,-49.0,
