,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,-60.0,-59.0
1,,-54.0,-71.0
2,-58.0,,
3,,,-67.0
4,-52.0,-55.0,
5,-58.0,,
6,,-53.0,
7,-57.0,-55.0,-60.0
8,,,-61.0
9,-58.0,-55.0,-52.0
10,-59.0,,-53.0
11,,-55.0,
12,-57.0,,
13,-55.0,-56.0,-60.0
14,,,-57.0
15,-74.0,,-69.0
16,,,-70.0
17,-57.0,,-58.0
18,,-52.0,-74.0
19,-56.0,,
20,,,
21,-58.0,,
22,-64.0,,-66.0
23,-56.0,,
24,,-51.0,
25,,,
26,-62.0,,-57.0
27,-62.0,-52.0,
28,,-50.0,-54.0
29,,-51.0,
30,-57.0,,
31,,-52.0,-66.0
32,,-53.0,-64.0
33,-63.0,,-66.0
34,,-52.0,-64.0
35,,,
36,,-52.0,-54.0
37,,,
38,,,
39,-65.0,,
40,,,-65.0
41,-56.0,,
42,-64.0,-52.0,
43,,-52.0,
44,-63.0,,
45,-56.0,,-56.0
46,-56.0,-52.0,
47,,,
48,,,
49,-55.0,,-70.0
50,-68.0,-50.0,
51,,,
52,-54.0,,-58.0
53,-65.0,-52.0,
54,-54.0,-53.0,
55,-55.0,-50.0,
56,-67.0,,-54.0
57,-55.0,,-54.0
58,,-52.0,
59,-54.0,-51.0,-59.0
