,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,-54.0,-56.0
1,,-54.0,-54.0
2,-60.0,,-58.0
3,,,
4,,-54.0,-58.0
5,-52.0,,
6,,,
7,-58.0,-54.0,-58.0
8,,-54.0,
9,-53.0,-54.0,
10,-50.0,-54.0,-58.0
11,-54.0,-52.0,
12,,-52.0,-60.0
13,,-50.0,
14,-54.0,-50.0,
15,,-51.0,
16,-60.0,-50.0,
17,-60.0,-50.0,
18,-54.0,-51.0,
19,,,-56.0
20,-54.0,,
21,,,-55.0
22,-61.0,,-55.0
23,-54.0,-52.0,-67.0
24,,-50.0,
25,,,-56.0
26,,-50.0,
27,,,
28,,,-56.0
29,,,-68.0
30,,,
31,-61.0,-52.0,
32,-54.0,-50.0,
33,-62.0,-50.0,-67.0
34,,-50.0,-66.0
35,-55.0,,
36,,-51.0,
37,,,
38,,,-60.0
39,,,
40,,-50.0,-66.0
41,-54.0,,
42,,-49.0,
43,,,
44,-61.0,,-65.0
45,-54.0,-50.0,
46,-54.0,-51.0,
47,-54.0,-51.0,-66.0
48,,,-60.0
49,-62.0,,-66.0
50,,-50.0,-62.0
51,,,
52,-54.0,-51.0,-55.0
53,,-50.0,
54,-54.0,,-55.0
55,-54.0,,-64.0
56,-55.0,,
57,,,-61.0
58,-60.0,-51.0,
59,,-51.0,-54.0
