,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-61.0,-51.0,-68.0
1,-55.0,-50.0,
2,-55.0,,-60.0
3,-55.0,,-59.0
4,-63.0,-49.0,
5,,,-54.0
6,-62.0,,
7,,,-60.0
8,-55.0,-51.0,
9,-55.0,,-68.0
10,-62.0,,
11,,-50.0,
12,-62.0,-52.0,-67.0
13,-55.0,-50.0,-60.0
14,-62.0,,-54.0
15,,-52.0,
16,-62.0,-52.0,
17,,,
18,-56.0,-50.0,-63.0
19,-56.0,-49.0,
20,-56.0,-52.0,
21,-63.0,-49.0,-63.0
22,-55.0,-49.0,
23,-56.0,,
24,,,-60.0
25,-55.0,,-60.0
26,-55.0,,
27,,,-59.0
28,,-49.0,-53.0
29,,,-66.0
30,-55.0,-49.0,
31,-54.0,-50.0,
32,,-49.0,
33,-55.0,-49.0,
34,-63.0,-49.0,-60.0
35,,,-68.0
36,-55.0,-49.0,
37,,,-66.0
38,-56.0,,
39,-55.0,-50.0,-67.0
40,-56.0,,
41,,-52.0,-61.0
42,-63.0,-50.0,
43,-63.0,-49.0,-53.0
44,,-52.0,-61.0
45,,,-61.0
46,,-49.0,-67.0
47,-55.0,-52.0,
48,-55.0,,-60.0
49,-55.0,-49.0,-60.0
50,-55.0,,
51,-54.0,,
52,,,
53,-62.0,,
54,-55.0,,
55,,,-59.0
56,,-49.0,
57,-55.0,-51.0,
58,-56.0,,-54.0
59,,,
