,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-54.0,-44.0,-49.0
1,-54.0,-45.0,
2,,,-48.0
3,,,
4,,-44.0,
5,-46.0,,
6,-50.0,,
7,-47.0,-45.0,
8,-46.0,-45.0,
9,-50.0,-46.0,-46.0
10,-50.0,,-44.0
11,-46.0,-45.0,
12,,-45.0,
13,,-44.0,-53.0
14,,-45.0,-45.0
15,,,
16,-49.0,,-46.0
17,,,
18,-46.0,-44.0,-52.0
19,-50.0,,-53.0
20,,,
21,,-46.0,-52.0
22,,-46.0,
23,,-44.0,-50.0
24,,-46.0,
25,-51.0,,
26,,-45.0,
27,,-43.0,-52.0
28,-50.0,-46.0,-50.0
29,,-44.0,
30,,-50.0,-46.0
31,,-43.0,
32,,,
33,,,-47.0
34,-49.0,,
35,,-45.0,
36,-46.0,,-51.0
37,,-47.0,-51.0
38,,-43.0,
39,-50.0,-43.0,
40,-45.0,-43.0,
41,-49.0,,-46.0
42,-49.0,,-51.0
43,-49.0,,-45.0
44,,-43.0,
45,,-46.0,-48.0
46,,-46.0,-46.0
47,,-46.0,-45.0
48,,-45.0,
49,-84.0,,-45.0
50,-48.0,,-52.0
51,,-45.0,-50.0
52,,,-50.0
53,-48.0,-46.0,-52.0
54,,,
55,-46.0,,
56,-48.0,,
57,-80.0,,-49.0
58,,,-50.0
59,,-46.0,-49.0
