,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-67.0,,-45.0
1,-49.0,-49.0,-45.0
2,-48.0,,-53.0
3,,-49.0,
4,-49.0,-46.0,-46.0
5,-48.0,-46.0,-52.0
6,,,
7,,-45.0,-46.0
8,-49.0,,-47.0
9,-49.0,,-46.0
10,-63.0,,
11,,,-52.0
12,-63.0,,
13,-49.0,,-48.0
14,,-44.0,-43.0
15,-50.0,-49.0,-43.0
16,-50.0,-44.0,-44.0
17,,-45.0,-44.0
18,,,-50.0
19,,,
20,,-50.0,
21,-48.0,-49.0,-44.0
22,,,-47.0
23,-44.0,-50.0,
24,-43.0,-48.0,-58.0
25,-48.0,,-57.0
26,,,-45.0
27,,,-46.0
28,-48.0,-50.0,
29,,-46.0,
30,-45.0,,
31,,,
32,-46.0,,
33,-46.0,,-58.0
34,,-46.0,-60.0
35,,,
36,-48.0,-53.0,-49.0
37,-48.0,,-46.0
38,-48.0,-54.0,
39,-47.0,-51.0,
40,-48.0,,-59.0
41,,-54.0,-47.0
42,-45.0,,-49.0
43,,,
44,,,
45,,-50.0,-48.0
46,,,-49.0
47,-48.0,-52.0,-60.0
48,-49.0,-53.0,
49,,-51.0,
50,,-45.0,-56.0
51,-44.0,,-45.0
52,-46.0,-44.0,
53,,,-57.0
54,-49.0,-44.0,
55,-49.0,,-45.0
56,,-44.0,-45.0
57,,-44.0,
58,,-42.0,-45.0
59,,,-44.0
