,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-47.0,,-44.0
1,-49.0,,
2,,-43.0,-46.0
3,,-42.0,-55.0
4,-48.0,,
5,-43.0,,
6,,,
7,,,-56.0
8,,-43.0,-46.0
9,,,-50.0
10,-44.0,-41.0,-50.0
11,,,-50.0
12,,-40.0,
13,,-40.0,-46.0
14,,,-45.0
15,-48.0,,
16,-46.0,,
17,-46.0,,-50.0
18,,,-49.0
19,-44.0,-40.0,
20,-46.0,,-49.0
21,,,-45.0
22,-48.0,,
23,,,
24,,,-44.0
25,,-42.0,
26,,,-54.0
27,,-40.0,
28,,-41.0,-57.0
29,,-40.0,
30,-46.0,,-44.0
31,,,-44.0
32,-48.0,-42.0,-46.0
33,-48.0,-44.0,
34,,,-49.0
35,-48.0,-42.0,
36,,-43.0,-48.0
37,-42.0,,
38,,,-54.0
39,-48.0,-44.0,
40,-48.0,,-49.0
41,,,-49.0
42,,-41.0,
43,,,
44,,-44.0,-49.0
45,-44.0,,-45.0
46,-42.0,,
47,-48.0,-42.0,
48,-42.0,,
49,,,
50,-43.0,-42.0,
51,,,-49.0
52,,-43.0,-49.0
53,-44.0,-43.0,
54,-49.0,,-56.0
55,,-40.0,-50.0
56,-46.0,,
57,,-41.0,-58.0
58,,,
59,-45.0,,
