,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-55.0,-50.0,
1,-44.0,-46.0,-49.0
2,-44.0,,-49.0
3,,,-44.0
4,-48.0,,
5,-48.0,,
6,-53.0,,
7,-53.0,,
8,-50.0,-45.0,
9,-41.0,-48.0,-49.0
10,-47.0,,
11,-45.0,,
12,-43.0,,
13,,,-49.0
14,-44.0,-42.0,
15,-46.0,,
16,,-40.0,-44.0
17,-46.0,-42.0,
18,,-40.0,-49.0
19,-46.0,-42.0,-44.0
20,-46.0,,
21,-48.0,,
22,-48.0,-43.0,-49.0
23,,,-55.0
24,-44.0,,
25,,,-49.0
26,,,-56.0
27,-48.0,,-45.0
28,-44.0,-40.0,-45.0
29,-43.0,,-45.0
30,-43.0,,
31,,-43.0,-54.0
32,,-44.0,-54.0
33,,,
34,,-41.0,-48.0
35,-44.0,-40.0,
36,-45.0,,
37,-47.0,-43.0,-48.0
38,,,-48.0
39,-46.0,-40.0,-49.0
40,-47.0,,-49.0
41,-45.0,-44.0,
42,-44.0,-40.0,
43,-43.0,,
44,-44.0,,
45,-45.0,-40.0,
46,-42.0,,
47,,-42.0,
48,,-42.0,
49,,-41.0,
50,-45.0,,-56.0
51,,,-45.0
52,-43.0,-44.0,
53,-43.0,,-50.0
54,,,-50.0
55,-46.0,-41.0,-56.0
56,-44.0,,
57,,,
58,,,
59,-42.0,-43.0,-50.0
