,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-66.0,-54.0,-47.0
1,,-52.0,
2,,-51.0,-53.0
3,,,
4,,-63.0,
5,-50.0,,
6,-50.0,,
7,,,
8,,,-52.0
9,,-57.0,-46.0
10,,,
11,,-50.0,-46.0
12,,,-49.0
13,,,
14,,,
15,,,
16,,,
17,,-55.0,-53.0
18,-49.0,-57.0,-46.0
19,,,
20,,,
21,-59.0,,-53.0
22,-59.0,-54.0,-46.0
23,-52.0,,-46.0
24,,-55.0,-53.0
25,-52.0,-55.0,
26,-52.0,,-53.0
27,,-56.0,
28,-52.0,-69.0,
29,-48.0,,
30,-49.0,-55.0,
31,,,
32,,-55.0,-46.0
33,-52.0,,-46.0
34,,-55.0,
35,,,-45.0
36,-52.0,-55.0,
37,-59.0,-54.0,-54.0
38,,,
39,-59.0,-54.0,-46.0
40,,-55.0,
41,,,-54.0
42,,-55.0,
43,-53.0,,-46.0
44,-52.0,-64.0,
45,,,
46,,-55.0,
47,-59.0,,-44.0
48,,,
49,-52.0,,
50,,-55.0,
51,-60.0,,-44.0
52,-50.0,,-53.0
53,,-54.0,
54,-50.0,,-46.0
55,-52.0,,-46.0
56,-61.0,-65.0,-54.0
57,,,
58,,,-47.0
59,-53.0,,-44.0
