,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,-54.0,
1,,,-46.0
2,-50.0,-57.0,-45.0
3,-61.0,,
4,-54.0,,-46.0
5,,-56.0,
6,-62.0,-56.0,
7,-54.0,,-45.0
8,,,-50.0
9,-50.0,-54.0,
10,-54.0,-57.0,
11,-50.0,-58.0,
12,-50.0,,
13,-62.0,,-50.0
14,-63.0,,-50.0
15,,-54.0,
16,,,-45.0
17,,,
18,-49.0,-52.0,-46.0
19,-56.0,,-55.0
20,,-65.0,
21,,-52.0,
22,-57.0,-53.0,-55.0
23,,-65.0,-48.0
24,-49.0,-53.0,
25,,,
26,-52.0,,-48.0
27,-49.0,-68.0,-55.0
28,-48.0,-53.0,-46.0
29,,,-48.0
30,-49.0,,-46.0
31,,-57.0,
32,,-57.0,-48.0
33,,-56.0,
34,,,-55.0
35,,-71.0,
36,,-53.0,
37,,,
38,-57.0,-53.0,
39,-52.0,,-47.0
40,-49.0,,
41,,,
42,-57.0,-62.0,
43,-52.0,-65.0,
44,,,
45,,-66.0,-54.0
46,,-55.0,
47,-59.0,-53.0,-53.0
48,-52.0,,-46.0
49,-53.0,-65.0,-49.0
50,,-66.0,
51,,,
52,-59.0,-56.0,
53,-60.0,-56.0,
54,,,
55,,,-48.0
56,,-52.0,-48.0
57,-59.0,,-54.0
58,-50.0,,
59,,,-53.0
