,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,-56.0,
1,-58.0,,-53.0
2,,-50.0,
3,-50.0,,
4,,,
5,-49.0,,-46.0
6,-51.0,,-53.0
7,,-54.0,
8,-59.0,,-52.0
9,-59.0,-52.0,-52.0
10,,,
11,-59.0,-52.0,
12,,,-52.0
13,,-52.0,-45.0
14,-52.0,-52.0,
15,-58.0,-57.0,
16,,-56.0,-52.0
17,-57.0,,
18,,-57.0,
19,,-54.0,
20,,,-45.0
21,,-53.0,
22,,-54.0,-45.0
23,-56.0,-56.0,-52.0
24,,,
25,-49.0,,-45.0
26,-49.0,,
27,-56.0,,-45.0
28,,-54.0,
29,-49.0,-52.0,-46.0
30,-51.0,-57.0,-45.0
31,-51.0,-54.0,-51.0
32,-49.0,,-51.0
33,-57.0,-52.0,-51.0
34,,,
35,,-56.0,-46.0
36,,,
37,-49.0,,-45.0
38,-55.0,,-48.0
39,-56.0,,-51.0
40,,-58.0,
41,,,-50.0
42,,-57.0,
43,,-56.0,-47.0
44,,,
45,,-53.0,
46,-51.0,-54.0,-45.0
47,-49.0,-52.0,-46.0
48,-56.0,-52.0,-51.0
49,,,
50,,,
51,-55.0,-54.0,
52,,-51.0,-45.0
53,-55.0,,
54,-50.0,,-46.0
55,,,
56,,-54.0,
57,-50.0,,-44.0
58,,-52.0,
59,,-52.0,
