,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-60.0,-55.0,-53.0
1,-59.0,,-62.0
2,,,
3,,,-46.0
4,-50.0,-53.0,-49.0
5,-54.0,-52.0,-60.0
6,,,-46.0
7,,,-46.0
8,-49.0,,
9,,,
10,,-52.0,
11,,,
12,-56.0,,-58.0
13,-52.0,,-46.0
14,,,
15,,,-46.0
16,-52.0,-52.0,-48.0
17,-49.0,,-57.0
18,,-53.0,
19,,,
20,,-52.0,-46.0
21,-55.0,-59.0,
22,,,
23,,-53.0,
24,-50.0,-57.0,-46.0
25,,-59.0,-47.0
26,-52.0,-53.0,
27,-52.0,-56.0,-46.0
28,,,
29,-52.0,,
30,-50.0,-57.0,-47.0
31,-52.0,,-46.0
32,,-52.0,
33,,-51.0,-56.0
34,-49.0,,-55.0
35,,-58.0,
36,-51.0,-61.0,-47.0
37,-52.0,-58.0,
38,,-55.0,
39,-49.0,,-45.0
40,-58.0,-51.0,-52.0
41,,-51.0,
42,,-55.0,-48.0
43,,,-46.0
44,-49.0,,-46.0
45,-49.0,,-46.0
46,,-59.0,
47,-49.0,-54.0,-46.0
48,-49.0,-54.0,-47.0
49,,,-54.0
50,-52.0,-58.0,-45.0
51,,-58.0,
52,,-57.0,
53,,,-59.0
54,-48.0,-52.0,
55,,-52.0,
56,-48.0,,-47.0
57,,,
58,,,-48.0
59,,-60.0,
