,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,,-46.0
1,-49.0,,
2,,-51.0,
3,,-52.0,-46.0
4,-49.0,-54.0,-45.0
5,-50.0,-53.0,
6,,-54.0,-46.0
7,-49.0,,-47.0
8,-49.0,,
9,-51.0,-52.0,-46.0
10,,,
11,-50.0,,
12,,-58.0,
13,,,
14,-54.0,,-52.0
15,,,
16,,-54.0,-52.0
17,,-52.0,
18,-49.0,,-52.0
19,-54.0,-54.0,-46.0
20,,-54.0,
21,-50.0,,-53.0
22,,,-46.0
23,,,-46.0
24,,-55.0,-52.0
25,-54.0,,
26,,,
27,-50.0,,-46.0
28,-50.0,-54.0,-45.0
29,-51.0,-52.0,
30,-54.0,,-45.0
31,,,-52.0
32,-50.0,-55.0,
33,,-55.0,
34,,-53.0,
35,-49.0,,-45.0
36,-55.0,-52.0,
37,-54.0,-54.0,-45.0
38,-50.0,,-45.0
39,,,
40,,,-47.0
41,,-55.0,-54.0
42,,,
43,,-52.0,
44,-46.0,-54.0,-48.0
45,-52.0,,
46,,-54.0,
47,,,
48,-48.0,,
49,,-52.0,
50,,,
51,-54.0,,
52,-49.0,,-45.0
53,-54.0,,-52.0
54,-54.0,,-45.0
55,,-52.0,
56,-54.0,-52.0,
57,-54.0,-54.0,
58,,,
59,-48.0,-52.0,-47.0
