,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-57.0,-69.0,
1,,,
2,-63.0,,
3,-59.0,,
4,-66.0,,-55.0
5,,-65.0,
6,-68.0,-66.0,-55.0
7,-68.0,,
8,,-62.0,-58.0
9,,,-56.0
10,-58.0,-63.0,-57.0
11,-65.0,,-61.0
12,,,-55.0
13,,,
14,-65.0,-63.0,-56.0
15,-58.0,,-88.0
16,,,-57.0
17,-59.0,,
18,-60.0,,-55.0
19,,,
20,,-64.0,-61.0
21,,,-56.0
22,,-64.0,
23,,-64.0,-55.0
24,,,
25,,-64.0,
26,,-64.0,
27,-58.0,,-57.0
28,-60.0,,-55.0
29,,,
30,,-67.0,
31,-59.0,,-57.0
32,,-63.0,-60.0
33,-60.0,,-60.0
34,-63.0,,-56.0
35,,,-56.0
36,-62.0,-60.0,
37,-59.0,-60.0,
38,,-62.0,
39,-65.0,,-54.0
40,-60.0,,-54.0
41,,,
42,-56.0,,
43,-56.0,,
44,-60.0,,-53.0
45,-57.0,,
46,-57.0,-60.0,-53.0
47,-60.0,,
48,,,-52.0
49,-57.0,,
50,-58.0,,
51,-58.0,,
52,,,
53,,-61.0,
54,,,-53.0
55,,-69.0,
56,,,-56.0
57,,,
58,,-63.0,-52.0
59,,-71.0,
