,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-61.0,,
1,-60.0,-68.0,-61.0
2,-60.0,-68.0,
3,,,
4,-60.0,,-61.0
5,,,
6,-62.0,-62.0,-60.0
7,-62.0,,-62.0
8,,,
9,-63.0,-66.0,-60.0
10,,,
11,-62.0,,
12,,,-59.0
13,,-60.0,
14,-56.0,,-58.0
15,,,
16,-63.0,-61.0,
17,-58.0,-61.0,-52.0
18,,-61.0,-53.0
19,-58.0,,
20,,-62.0,-58.0
21,-56.0,-62.0,
22,-59.0,-59.0,-53.0
23,,,
24,-61.0,-62.0,-53.0
25,,-60.0,-58.0
26,-57.0,-62.0,
27,-57.0,-60.0,-52.0
28,-60.0,-59.0,
29,,-63.0,
30,-57.0,-64.0,-57.0
31,,-64.0,
32,-60.0,-60.0,
33,-57.0,,-53.0
34,-58.0,-64.0,
35,,,
36,-61.0,-63.0,
37,-57.0,-67.0,-56.0
38,-60.0,-63.0,
39,-63.0,-60.0,-58.0
40,,,-57.0
41,-62.0,,-54.0
42,-62.0,-61.0,-57.0
43,-63.0,,
44,-62.0,,-53.0
45,,-70.0,-57.0
46,,-61.0,-57.0
47,-57.0,,-53.0
48,-57.0,,
49,,,-57.0
50,-57.0,-61.0,
51,-59.0,,-54.0
52,-57.0,-62.0,
53,-57.0,-60.0,-53.0
54,-61.0,,-54.0
55,,-66.0,-57.0
56,-60.0,,
57,,,-56.0
58,-59.0,-62.0,-57.0
59,-61.0,,
