,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-58.0,,
1,-57.0,,-58.0
2,,-57.0,-52.0
3,-58.0,-62.0,-59.0
4,,-62.0,
5,,-62.0,
6,,,
7,,-58.0,
8,,-59.0,
9,,,
10,-59.0,-61.0,-59.0
11,-57.0,-59.0,-59.0
12,,-61.0,
13,,-59.0,
14,-57.0,,-56.0
15,,,
16,-57.0,,-57.0
17,,-59.0,-59.0
18,-58.0,-59.0,-52.0
19,-59.0,,
20,,,-59.0
21,,-58.0,
22,,,
23,-60.0,,
24,,,
25,-58.0,-58.0,-58.0
26,,-61.0,-53.0
27,,-58.0,-56.0
28,-57.0,,-59.0
29,-59.0,,-59.0
30,-58.0,-61.0,
31,-59.0,-59.0,
32,,-58.0,-52.0
33,-57.0,,
34,-57.0,-60.0,
35,-57.0,-60.0,
36,,,
37,-57.0,-58.0,-59.0
38,-57.0,-59.0,-53.0
39,-59.0,-59.0,
40,-58.0,,-53.0
41,-58.0,,-53.0
42,,-62.0,
43,-58.0,-58.0,
44,,-58.0,
45,-57.0,,-53.0
46,,-57.0,
47,,,-56.0
48,-58.0,,-56.0
49,-60.0,-61.0,
50,,-58.0,
51,,,-53.0
52,,-58.0,
53,-60.0,-58.0,-53.0
54,,-58.0,-57.0
55,-58.0,,-57.0
56,-59.0,-58.0,-59.0
57,,-58.0,
58,-58.0,-95.0,
59,-60.0,,
