,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,-61.0,-57.0
1,,,-57.0
2,-58.0,-60.0,
3,,,
4,-58.0,-65.0,-58.0
5,,,
6,,-61.0,-60.0
7,,-59.0,
8,,-61.0,-59.0
9,,,-54.0
10,,-61.0,-52.0
11,,,-52.0
12,-57.0,-61.0,
13,,,
14,,-62.0,-52.0
15,,-62.0,
16,,,
17,-57.0,-63.0,
18,,-63.0,-52.0
19,-55.0,-64.0,
20,,-62.0,-56.0
21,-62.0,,
22,,,
23,-57.0,,-56.0
24,,-64.0,
25,,-62.0,
26,-59.0,,
27,,,-57.0
28,,-61.0,
29,-61.0,,
30,,-64.0,-58.0
31,-59.0,-64.0,
32,,,
33,-59.0,,-52.0
34,,-63.0,
35,-62.0,-64.0,-52.0
36,,,
37,-56.0,,
38,,-63.0,-52.0
39,-62.0,,-56.0
40,-57.0,-62.0,
41,,-63.0,-58.0
42,-62.0,,
43,,,
44,,,-56.0
45,-61.0,,
46,,,
47,-61.0,,-50.0
48,-55.0,,
49,,-63.0,-56.0
50,-57.0,-62.0,
51,-58.0,-67.0,-55.0
52,-57.0,-65.0,
53,-59.0,,-52.0
54,,-65.0,-57.0
55,,-67.0,-57.0
56,,,-55.0
57,-57.0,-59.0,-52.0
58,,-59.0,
59,,-60.0,-54.0
