,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,,
1,-60.0,-61.0,
2,-59.0,,
3,,,-57.0
4,-59.0,-59.0,-58.0
5,-58.0,,
6,,,
7,,,
8,,,-57.0
9,,,
10,,,-53.0
11,,,
12,,-58.0,
13,,,
14,-56.0,,
15,,-60.0,
16,-58.0,-63.0,-54.0
17,-59.0,-61.0,
18,-57.0,,
19,,,
20,,,
21,-59.0,,
22,-59.0,,-54.0
23,-58.0,,-57.0
24,,-60.0,
25,,,-57.0
26,,,
27,,,-57.0
28,,-58.0,
29,,-59.0,
30,,,
31,,,-57.0
32,,,
33,-62.0,,
34,-59.0,-58.0,-53.0
35,,-57.0,
36,-59.0,-58.0,
37,-59.0,-62.0,-53.0
38,-62.0,,
39,-59.0,-57.0,
40,-59.0,-58.0,
41,,,-54.0
42,,,
43,,,
44,,,
45,,,-55.0
46,-60.0,,-53.0
47,,-57.0,
48,,-57.0,-59.0
49,,-63.0,
50,,,
51,-60.0,-63.0,-56.0
52,-60.0,-59.0,
53,,-63.0,-56.0
54,,,
55,-60.0,,-59.0
56,-60.0,-59.0,
57,-59.0,-62.0,
58,-58.0,,-59.0
59,-59.0,-62.0,-55.0
